7.64,6.488,747.345
843.128,31.619,1634.531
410.431,7.147,1713.42
2.139,5.151,547.286
7.954,10.569,790.42
3.062,5.395,511.987
1260.297,6.802,933.714
6042.198,70.939,1668.072
2.231,4669.389,595.713
531.545,2455.012,1397.376
668.915,9.728,787.387
5.014,97.196,1095.919
2.474,5.519,1073.488
3.43,666.89,1154.312
6033.34,5.661,1248.004
467.357,8.444,1444.449
3579.689,6.142,813.998
1696.616,806.62,1844.323
1.999,5.051,528.769
2311.467,334.375,1227.207
1.763,43.258,1133.355
1982.735,6.229,1484.379
675.531,6.06,1049.652
5.972,6.255,657.705
1.975,5.977,489.663
2.957,4.791,526.426
1.639,6.392,716.313
1.42,2713.917,1424.674
2395.563,6142.896,1925.765
2.837,5.455,780.025
2.236,2730.829,512.625
1.766,4.658,755
2.724,2760.993,1775.026
2745.525,10.012,1155.098
411.807,7.267,526.575
2301.88,2796.888,2057.72
1.694,7.462,922.431
2422.514,17.989,1455.496
5.489,7820.904,917.386
2.209,7.137,883.252
3.849,4.909,1233.668
1.703,4.58,1147.875
1.736,4.804,857.69
4.589,5.104,1435.462
413.22,5.694,1141.534
8.005,4588.71,1130.42
1.713,5.775,545.737
425.207,8.003,546.95
667.155,4.806,1323.594
314.703,7.221,1791.288
2.192,48.013,617.564
1.886,4.979,687.533
1.528,4.783,942.433
1.703,5.638,459.982
494.308,312.989,1235.483
3.53,104.724,1717.623
2512.749,2181.408,1333.213
1.752,2597.425,1389.576
3587.256,6.205,845.804
1.728,5.955,740.83
2.366,6.616,730.825
1949.647,5372.037,1617.896
1057.821,5.755,828.143
2453.567,1720.674,2099.664
2.339,5.435,781.148
1.932,4.852,933.339
1.675,5.084,851.666
1.816,4.645,1471.605
2.036,4.751,537.629
1.843,6.351,517.544
1.714,4.846,691.645
2.317,5.721,781.638
1.674,4.824,462.096
366.034,5.571,893.15
1.724,4.598,724.136
2.159,2553.739,643.681
1.65,5.085,530.85
2.647,5.667,877.227
1.938,4.974,681.058
2.116,5.617,829.964
1760.325,7.756,1260.349
1.948,4.628,564.392
1.666,4.663,926.192
