img-dnn,xapian,masstree,50,20,100,hist
4.367,5.683,55.545,0.08734,0.28415,0.55545,0.30898
1.775,5.987,3.64,0.0355,0.29935,0.0364,0.12375
3.641,5.105,67.359,0.07282,0.25525,0.67359,0.333886667
1.694,5.997,2.964,0.03388,0.29985,0.02964,0.121123333
3.092,2000.293,47.087,0.06184,100.01465,0.47087,33.51578667
229.219,6.903,12.923,4.58438,0.34515,0.12923,1.686253333
3.063,9.5,63.146,0.06126,0.475,0.63146,0.38924
2.306,5.914,3.145,0.04612,0.2957,0.03145,0.124423333
1.452,5.311,3.534,0.02904,0.26555,0.03534,0.109976667
2.091,6.708,3.277,0.04182,0.3354,0.03277,0.136663333
1.92,4.954,3.623,0.0384,0.2477,0.03623,0.107443333
757.213,4.74,3.599,15.14426,0.237,0.03599,5.139083333
378.064,14.999,18.787,7.56128,0.74995,0.18787,2.833033333
1.59,849.89,69.096,0.0318,42.4945,0.69096,14.40575333
1.897,7.476,3.356,0.03794,0.3738,0.03356,0.148433333
1.866,20.892,3.781,0.03732,1.0446,0.03781,0.373243333
1.714,5.219,74.029,0.03428,0.26095,0.74029,0.345173333
1.89,9.029,3.152,0.0378,0.45145,0.03152,0.17359
2.001,5.263,66.348,0.04002,0.26315,0.66348,0.322216667
1.707,6.375,3.506,0.03414,0.31875,0.03506,0.129316667
3.329,31.564,47.011,0.06658,1.5782,0.47011,0.704963333
1.604,5.9,71.477,0.03208,0.295,0.71477,0.347283333
1.482,7.752,3.559,0.02964,0.3876,0.03559,0.150943333
1.908,5.217,63.968,0.03816,0.26085,0.63968,0.312896667
311.057,9.355,4.982,6.22114,0.46775,0.04982,2.246236667
34.699,5.081,74.608,0.69398,0.25405,0.74608,0.564703333
1.426,6.104,3.256,0.02852,0.3052,0.03256,0.122093333
1.837,13.499,4.442,0.03674,0.67495,0.04442,0.252036667
3.37,6.802,43.09,0.0674,0.3401,0.4309,0.279466667
1.692,5.934,3.34,0.03384,0.2967,0.0334,0.121313333
3.399,198.185,46.334,0.06798,9.90925,0.46334,3.48019
2.096,7.108,3.455,0.04192,0.3554,0.03455,0.143956667
